n_pairs,mean_diff,median_diff,std_diff,cohen_dz,cliffs_delta,rank_biserial,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,bootstrap_ci95_low,bootstrap_ci95_high,normality_stat,normality_p,normality_test,comparison,model_key,architecture,train_setting,test_file,condition,metric,mean_noisy,mean_clean,retention_rate,absolute_degradation,relative_degradation,negative_mean_diff_means,metric_direction,paired_t_p_holm,wilcoxon_p_holm
500,0.054479525463509045,0.04155017497122748,0.16065506360807222,0.3391086732031998,0.188612,0.3545287791003046,7.582700450421163,1.6649442553195992e-13,39939.5,7.476834244163006e-12,0.04057924683585958,0.06865553000194029,0.9681947895653155,6.079855348135649e-09,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,sentence_support_proxy,0.7814083713835422,0.7269288459200332,1.0749447841687414,-0.05447952546350909,-0.07494478416874131,performance degradation under noise for higher-is-better metrics,higher_is_better,2.330921957447439e-11,1.0243262914503319e-09
500,0.020184108068487975,0.019187675070028054,0.10405058227171053,0.1939836147747889,0.142012,0.22732378204972808,4.337605491575606,1.743891272208856e-05,47810.5,1.127865066594351e-05,0.01100376982006633,0.029288864342965674,0.9931347566210783,0.02210997737605939,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,distinct_1,0.650249568884835,0.6300654608163471,1.032034938151246,-0.020184108068487916,-0.03203493815124588,performance degradation under noise for higher-is-better metrics,higher_is_better,0.0019357193121518302,0.00128576617591756
500,0.006505452584141028,0.006325763346737456,0.054263604800447264,0.11988611165927199,0.076164,0.13206559522348996,2.6807349522826227,0.007589156703795449,53059.0,0.010980045554078867,0.001636422598452352,0.011269076764872281,0.9959831320224359,0.23465114228302875,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,distinct_2,0.9281316986496635,0.9216262460655226,1.0070586667989472,-0.006505452584140925,-0.007058666798947068,performance degradation under noise for higher-is-better metrics,higher_is_better,0.6147216930074313,0.8549003582667197
500,-0.006505452584141029,-0.006325763346737394,0.05426360480044727,-0.11988611165927199,-0.076164,-0.13209831104567946,-2.6807349522826227,0.007589156703795449,53057.0,0.010960261003419484,-0.011269076764872283,-0.0016364225984523524,0.9959831320224372,0.23465114228325096,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,repetition_2gram_rate,0.0718683013503365,0.07837375393447753,0.916994500613308,0.006505452584141022,0.08300549938669198,performance degradation under noise for higher-is-better metrics,lower_is_better,0.6147216930074313,0.8549003582667197
500,-0.04887743371618843,-0.038791293452310416,0.1972094055442477,-0.24784534784889783,-0.145012,-0.2713587174348697,-5.541990456972168,4.8500440491383796e-08,45449.0,1.502863935130778e-07,-0.0659415337236356,-0.03162760074652254,0.9897335019294298,0.0014443460217338391,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,novel_2gram_ratio,0.470159148447345,0.5190365821635334,0.9058304647575138,0.04887743371618841,0.09416953524248614,performance degradation under noise for higher-is-better metrics,higher_is_better,5.820052858966056e-06,1.7884080828056257e-05
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_precision@1,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_recall@1,0.33333333333333326,0.33333333333333326,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_precision@3,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_recall@3,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_precision@5,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_recall@5,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_precision@10,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_recall@10,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,-0.424,0.0,0.49468517953715513,-0.857110779823057,-0.424,-1.0,-19.165579679322104,9.18817205313749e-62,0.0,5.029584442251403e-48,-0.46604999999999996,-0.382,0.6280865590099662,1.8634423638640258e-31,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_precision@1,0.576,1.0,0.576,0.42400000000000004,0.42400000000000004,performance degradation under noise for higher-is-better metrics,higher_is_better,2.26947849712496e-59,1.2020706816980854e-45
500,-0.1413333333333333,0.0,0.16489505984571837,-0.857110779823057,-0.424,-1.0,-19.165579679322104,9.18817205313749e-62,0.0,5.029584442251403e-48,-0.15535000000000002,-0.12733333333333333,0.6280865590099662,1.8634423638640258e-31,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_recall@1,0.192,0.33333333333333326,0.5760000000000002,0.14133333333333326,0.4239999999999999,performance degradation under noise for higher-is-better metrics,higher_is_better,2.26947849712496e-59,1.2020706816980854e-45
500,-0.4000000000000001,-0.33333333333333337,0.19225715726059395,-2.0805467307405476,-0.914,-1.0,-46.522439203008155,1.3482720896047679e-183,0.0,7.477094126262195e-84,-0.41666666666666674,-0.38266666666666677,0.7439037668183623,4.484840464673891e-27,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_precision@3,0.6,1.0,0.6,0.4,0.4,performance degradation under noise for higher-is-better metrics,higher_is_better,4.867262243473212e-181,2.6992309795806527e-81
500,-0.4000000000000001,-0.33333333333333337,0.19225715726059395,-2.0805467307405476,-0.914,-1.0,-46.522439203008155,1.3482720896047679e-183,0.0,7.477094126262195e-84,-0.41666666666666674,-0.38266666666666677,0.7439037668183623,4.484840464673891e-27,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_recall@3,0.6,1.0,0.6,0.4,0.4,performance degradation under noise for higher-is-better metrics,higher_is_better,4.867262243473212e-181,2.6992309795806527e-81
500,-0.4,-0.4,0.0,,-1.0,-1.0,-inf,0.0,0.0,9.505397766554096e-111,-0.4,-0.4,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_precision@5,0.5999999999999999,1.0,0.5999999999999999,0.40000000000000013,0.40000000000000013,performance degradation under noise for higher-is-better metrics,higher_is_better,0.0,3.887707686520625e-108
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_recall@5,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,-0.4,-0.4,0.0,,-1.0,-1.0,-inf,0.0,0.0,9.505397766554096e-111,-0.4,-0.4,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_precision@10,0.5999999999999999,1.0,0.5999999999999999,0.40000000000000013,0.40000000000000013,performance degradation under noise for higher-is-better metrics,higher_is_better,0.0,3.887707686520625e-108
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_recall@10,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,-0.22700000000000004,0.0,0.2685427907446444,-0.8453029007799836,-0.424,-1.0,-18.901547477218035,1.7028521339658612e-60,0.0,1.8890678663418634e-41,-0.25033333333333335,-0.20399166666666677,0.6902502880624303,2.8933457702193497e-29,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_mrr,0.773,1.0,0.773,0.22699999999999998,0.22699999999999998,performance degradation under noise for higher-is-better metrics,higher_is_better,3.933588429461139e-58,3.778135732683727e-39
500,-0.424,0.0,0.49468517953715513,-0.857110779823057,-0.424,-1.0,-19.165579679322104,9.18817205313749e-62,0.0,5.029584442251403e-48,-0.46604999999999996,-0.382,0.6280865590099662,1.8634423638640258e-31,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_hit@1,0.576,1.0,0.576,0.42400000000000004,0.42400000000000004,performance degradation under noise for higher-is-better metrics,higher_is_better,2.26947849712496e-59,1.2020706816980854e-45
500,-0.424,0.0,0.49468517953715513,-0.857110779823057,-0.424,-1.0,-19.165579679322104,9.18817205313749e-62,0.0,5.029584442251403e-48,-0.46604999999999996,-0.382,0.6280865590099662,1.8634423638640258e-31,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_ndcg@1,0.576,1.0,0.576,0.42400000000000004,0.42400000000000004,performance degradation under noise for higher-is-better metrics,higher_is_better,2.26947849712496e-59,1.2020706816980854e-45
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_hit@3,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,-0.40587711490409106,-0.46927872602275655,0.21288983010445894,-1.906512465649199,-0.914,-1.0,-42.63091473142342,1.8216251292382699e-168,0.0,2.2699835454315082e-77,-0.42426832126962727,-0.38745235949329465,0.9230245092330855,2.5969562507365135e-15,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_ndcg@3,0.5941228850959089,1.0,0.5941228850959089,0.40587711490409106,0.40587711490409106,performance degradation under noise for higher-is-better metrics,higher_is_better,6.284606695872031e-166,7.786043560830073e-75
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_hit@5,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,-0.1758110248051301,-0.14707213493934335,0.12397418483854981,-1.4181260803133073,-0.914,-1.0,-31.71026316245882,1.1312060592842864e-121,0.0,7.656247318520423e-77,-0.18658424076541985,-0.16501533949881442,0.8987919585293593,1.1256300624925204e-17,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_ndcg@5,0.82418897519487,1.0,0.82418897519487,0.17581102480513,0.17581102480513,performance degradation under noise for higher-is-better metrics,higher_is_better,3.4841146625956023e-119,2.5954678409784233e-74
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_hit@10,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,-0.1758110248051301,-0.14707213493934335,0.12397418483854981,-1.4181260803133073,-0.914,-1.0,-31.71026316245882,1.1312060592842864e-121,0.0,7.656247318520423e-77,-0.18658424076541985,-0.16501533949881442,0.8987919585293593,1.1256300624925204e-17,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,context_ndcg@10,0.82418897519487,1.0,0.82418897519487,0.17581102480513,0.17581102480513,performance degradation under noise for higher-is-better metrics,higher_is_better,3.4841146625956023e-119,2.5954678409784233e-74
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_mrr,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_hit@1,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_ndcg@1,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_hit@3,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_ndcg@3,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_hit@5,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_ndcg@5,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_hit@10,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,retrieval_ndcg@10,1.0,1.0,1.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,-0.0660171530548384,-0.06231583497080939,0.07833736667252436,-0.8427287750277789,-0.496808,-0.7726653306613226,-18.84398827557241,3.2153174532213385e-60,14180.0,1.442450745209762e-50,-0.07301752650604826,-0.0592521224606787,0.9935653507024703,0.03170590502601381,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_substitutive.jsonl,easy_substitutive,rouge1,0.25854108159727646,0.3245582346521148,0.7965938127387205,0.06601715305483835,0.2034061872612795,performance degradation under noise for higher-is-better metrics,higher_is_better,7.298770618812438e-58,3.534004325763917e-48
500,-0.0360012005017824,-0.028690265528540957,0.04731685614298678,-0.760853603480975,-0.477324,-0.7627052638411111,-17.013203783091303,1.584339334449487e-51,14624.0,4.945565562690514e-49,-0.040209665434689304,-0.03191794436444908,0.9449994722448244,1.1572788345011145e-12,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_substitutive.jsonl,easy_substitutive,rouge2,0.05060165701256598,0.08660285751434837,0.5842954662804548,0.0360012005017824,0.41570453371954513,performance degradation under noise for higher-is-better metrics,higher_is_better,3.2320522422769537e-49,1.201772431733795e-46
500,-0.0297827054801289,-0.02693886813385385,0.04395050992737144,-0.6776418642091993,-0.390732,-0.6679118236472946,-15.152532727714515,6.119530253191649e-43,20714.0,3.1455782290161787e-38,-0.033572188616192065,-0.025859374328207948,0.9894726751794036,0.00118426955732958,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_substitutive.jsonl,easy_substitutive,rougeL,0.16519014140728672,0.19497284688741565,0.8472469066560507,0.02978270548012893,0.15275309334394926,performance degradation under noise for higher-is-better metrics,higher_is_better,1.1443521573468385e-40,5.913687070550416e-36
500,-0.0297827054801289,-0.02693886813385385,0.04395050992737144,-0.6776418642091993,-0.390732,-0.6679118236472946,-15.152532727714515,6.119530253191649e-43,20714.0,3.1455782290161787e-38,-0.033572188616192065,-0.025859374328207948,0.9894726751794036,0.00118426955732958,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_substitutive.jsonl,easy_substitutive,rougeLsum,0.16519014140728672,0.19497284688741565,0.8472469066560507,0.02978270548012893,0.15275309334394926,performance degradation under noise for higher-is-better metrics,higher_is_better,1.1443521573468385e-40,5.913687070550416e-36
500,-0.01720489728450775,-0.015831023454666138,0.015208371139620659,-1.1312781051013259,-0.5963,-0.9167935871743487,-25.296147444637164,1.822155782363624e-91,5190.0,1.8926216571997156e-70,-0.01856486651599407,-0.015885490331053735,0.9849258879150217,4.757465295613617e-05,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_substitutive.jsonl,easy_substitutive,bertscore_f1,0.8222361167669296,0.8394410140514373,0.9795043403925776,0.017204897284507692,0.020495659607422338,performance degradation under noise for higher-is-better metrics,higher_is_better,4.792269707616331e-89,5.583233888739161e-68
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_substitutive.jsonl,easy_substitutive,entity_f1_ref,0.0,0.0,0.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
0,,,,,,,,,,,,,,,,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_substitutive.jsonl,easy_substitutive,source_supported_entity_rate,,,,,,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_substitutive.jsonl,easy_substitutive,unsupported_entity_rate,0.0,0.0,0.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,lower_is_better,,
500,-0.02139532117767412,0.0,0.11278493242489021,-0.18970017286593188,-0.044104,-0.9692307692307692,-4.241824818716849,2.643145346323254e-05,5.0,2.212841477063349e-05,-0.0319912716077422,-0.01231168303080068,0.20420935420406017,1.8316638838284402e-41,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_substitutive.jsonl,easy_substitutive,number_f1_ref,0.003904761904761905,0.02530008308243602,0.15433790837915046,0.021395321177674117,0.8456620916208496,performance degradation under noise for higher-is-better metrics,higher_is_better,0.0028017340671026496,0.002478382454310951
500,-0.007475757575757576,0.0,0.19962874397140187,-0.0374483024189569,-0.010008,-0.15508021390374332,-0.8373694985075744,0.40278576975798536,237.0,0.43012858061981574,-0.024742424242424243,0.009730984848484838,0.3074719910665583,1.5817681797056212e-39,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_substitutive.jsonl,easy_substitutive,unsupported_number_rate,0.01992424242424242,0.027399999999999997,0.7271621322716213,0.007475757575757577,0.27283786772837876,performance degradation under noise for higher-is-better metrics,lower_is_better,1.0,1.0
